IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1415-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",13/2/2023,17/10/2022,,21/12/2022,,,,,,,,,,,,,6/1/2023,"62,000",6/1/2023,,17/10/2022,UL,A-S,21/12/2022,13/02/2023,ราชบุรี,19/10/2022
1416-22,S,Phoenix Pulp & Paper Public Company Limited,2/11/2022,17/10/2022,A-ES,,,,,,,,,,,,,,21/12/2022,"80,000",21/12/2022,,17/10/2022,UL,L-M,,02/11/2022,ขอนแก่น,
1417-22,I,Patum Vegetable Oil Company Limited,17/11/2022,17/10/2022,,,,,,,,,,19/10/2022,19/10/2022,,,19/10/2022,20/10/2022,"16,000",20/10/2022,S-S,17/10/2022,NP,S-S,,17/11/2022,ปทุมธานี,
1418-22,I,"AGC Vinythai Public Co.,Ltd",31/10/2022,17/10/2022,,,,,,,,,,,,,,,,"62,000",,,,UL,A-S,,31/10/2022,,
1419-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",9/11/2022,18/10/2022,,,,,,,,,,20/10/2022,20/10/2022,,,20/10/2022,26/10/2022,"51,000",26/10/2022,S-S,17/10/2022,NP,S-S,,9/11/2022,ราชบุรี,20/10/2022
1420-22,Q,"PB PIPE (Thailand) Co.,Ltd",31/10/2022,18/10/2022,,,,,,,,,,27/10/2022,27/10/2022,,,27/10/2022,27/10/2022,"91,000",27/10/2022,S-S,18/10/2022,NP,S-S,,31/10/2022,ปราจีนบุรี,21/10/2022
1421-22,I,"JPK (Siam) Co., Ltd.",14/1/2023,20/10/2022,,,,,,,,,,,,,,,2/11/2022,"35,240",1/11/2022,,20/10/2022,UL,L-S,,4/11/2022,สมุทรปราการ,20/10/2022
1422-22,I,"Siam Synthetic Latex Co., Ltd.",31/1/2023,20/10/2022,,15/11/2022,,,,,,,,,,,,,31/1/2023,"63,000",31/1/2023,,20/10/2022,UL,A-S,15/11/2022,31/01/2023,ระยอง,25/10/2022
1423-22,I,Double A (1991) Public Company Limited,28/2/2023,21/10/2022,,2/12/2022,,,,,,,,7/1/2023,7/1/2023,,,7/1/2023,21/2/2023,"428,640",21/2/2023,,21/10/2022,UL,A-S,2/12/2022,28/2/2023,ปราจีนบุรี,25/10/2022
1424-22,I,"AGC Vinythai Public Co.,Ltd",2/2/2023,21/10/2022,,9/12/2022,,,,,,,,,,,,,22/12/2022,"22,000",22/12/2022,,21/10/2022,UL,A-S,9/12/2022,02/02/2023,,25/10/2022
1425-22,I,"Thai Glycerine Co.,Ltd.",20/1/2023,21/10/2022,,12/1/2023,,9/11/2021,,9/11/2021,,,,,,,,,19/1/2023,"49,000",19/1/2023,,21/10/2022,NP,A-S,12/1/2023,20/1/2023,สมุทรสาคร,26/10/2022
1426-22,I,"TSK Engineering ( Thailand ) Co . , Ltd .",13/2/2023,21/10/2022,,30/1/2023,,,,,,,,,,,,,13/2/2023,"55,000",13/2/2023,,21/10/2022,NP,A-S,30/1/2023,31/1/2023,กรุงเทพมหานคร,27/10/2022
1427-22,A,BASF (Thai) Ltd.,28/2/2023,25/10/2022,,9/1/2023,,,,,,,,22/2/2023,22/2/2023,,,,24/2/2023,"240,000",24/2/2023,,25/10/2022,NP,A-S,9/1/2023,8/2/2023,ระยอง,28/10/2022
1428-22,Q,"The Siam Cement ( Kaeng Khoi ) Co.,Ltd.",30/11/2022,25/10/2022,,,,,,,,,,31/10/2022,31/10/2022,,,31/10/2022,8/11/2022,"35,000",8/11/2022,S-S,,TW,S-S,,30/11/2022,สระบุรี,26/10/2022
1429-22,I,Double A (1991) Public Company Limited,31/3/2023,26/10/2022,,13/1/2023,,,,,,,,,,,,,16/3/2023,"148,200",16/3/2023,,26/10/2022,UL,A-S,13/1/2023,31/03/2023,ปราจีนบุรี,
1430-22,I,Double A (1991) Public Company Limited,31/3/2023,26/10/2022,,31/10/2022,,,,,,,,,,,,,16/3/2023,"49,400",16/3/2023,,26/10/2022,UL,A-S,31/10/2022,31/3/2023,ปราจีนบุรี,28/10/2022
1431-22,I,"Thai Polyethylene Co., Ltd.",30/11/2022,26/10/2022,,1/11/2022,,,,,,,,,,,,,10/11/2022,"57,000",10/11/2022,,26/10/2022,UL,A-S,1/11/2022,30/11/2022,ระยอง,
1432-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),15/2/2023,26/10/2022,,9/12/2022,,,,,,,,23/12/2022,23/12/2022,,,23/12/2022,22/12/2022,"46,850",22/12/2022,,26/10/2022,UL,A-S,9/12/2022,15/2/2023,ระยอง,28/10/2022
1433-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",26/2/2023,26/10/2022,,13/1/2023,,,,,,,,,,,,,25/1/2023,"91,000",25/1/2023,,26/10/2022,UL,A-S,13/1/2023,26/02/2023,ราชบุรี,26/10/2022
1434-22,I,"AGC Vinythai Public Co.,Ltd",31/1/2023,27/10/2022,,9/12/2022,,,,,,,,,,,,,16/12/2022,"30,000",16/12/2022,,27/10/2022,NP,A-S,9/12/2022,31/1/2023,,01/11/2022
1435-22,I,Green Spot Co. Ltd.,12/11/2022,28/10/2022,,,,,,,,,,31/10/2022,31/10/2022,,,31/10/2022,2/11/2022,"20,400",2/11/2022,S-S,28/10/2022,TW,S-S,,12/11/2022,สระบุรี,28/10/2022
1436-22,I,"Thai Roong Kit Karn Co., Ltd.",5/11/2022,28/10/2022,,,,,,,,,,,,,,,4/11/2022,"20,000",4/11/2022,,27/10/2022,SI,L-S,,5/11/2022,นครปฐม,31/10/2022
1437-22,I,"PB PIPE (Thailand) Co.,Ltd",23/12/2022,28/10/2022,,9/12/2022,,,,,,,,26/12/2022,26/12/2022,,,26/12/2022,28/12/2022,"13,700",28/12/2022,,28/10/2022,TW,A-S,9/12/2022,23/12/2022,ปราจีนบุรี,01/11/2022
1438-22,I,"E85 Co.,Ltd.",22/3/2023,31/10/2022,,13/2/2023,,,,,,,,,,,,,,"120,000",,,31/10/2022,UL,A-S,13/2/2023,17/3/2023,ปราจีนบุรี,02/11/2022
1439-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),7/3/2023,31/10/2022,,10/1/2023,,,,,,,,,,,,,19/1/2023,"58,800",19/1/2023,,31/10/2022,UL,A-S,10/1/2023,7/3/2023,ระยอง,02/11/2022
1440-22,I,"THAI NITRATE CO.,LTD.",29/12/2022,1/11/2022,,9/12/2022,,,,,,,,,,,,,16/12/2022,"121,500",16/12/2022,,01/11/2022,TW,A-S,9/12/2022,29/12/2022,ระยอง,03/11/2022
1441-22,I,TPI Polene Public Company Limited (Concrete Roof Tiles Plant),10/2/2023,2/11/2022,,14/11/2022,,,,,,,,,,,,,24/1/2023,"99,600",24/1/2023,,02/11/2022,UL,A-S,14/11/2022,10/2/2023,สระบุรี,04/11/2022
1442-22,I,BBGI BIO ETHANOL (Chachoengsao) COMPANY LIMITED,8/12/2022,2/11/2022,,9/11/2022,,,,,,,,10/11/2022,10/11/2022,,,10/11/2022,2/12/2022,"73,800",2/12/2022,,28/10/2022,SI,A-S,9/11/2022,8/12/2022,ฉะเชิงเทรา,02/11/2022
1443-22,I,Thai Beverage Energy Company Limited,25/1/2023,2/11/2022,,11/11/2022,,,,,,,,10/11/2022,10/11/2022,,,10/11/2022,11/11/2022,"55,400",11/11/2022,,31/10/2022,SI,A-S,11/11/2022,25/1/2023,กาญจนบุรี,02/11/2022
1444-22,I,"INEOS Styrolution (Thailand) Co., Ltd",20/1/2023,3/11/2022,,9/12/2022,,,,,,,,26/12/2022,26/12/2022,,,26/12/2022,22/12/2022,"199,880",22/12/2022,,03/11/2022,UL,A-S,9/12/2022,20/1/2023,ระยอง,07/11/2022
1445-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",20/3/2023,5/11/2022,,13/2/2023,,,,,,,,,,,,,,"168,000",,,05/11/2022,UL,A-S,13/2/2023,20/3/2023,กาญจนบุรี,
1446-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",26/12/2022,5/11/2022,,3/12/2022,,,,,,,,,,,,,22/12/2022,"54,000",22/12/2022,,05/11/2022,UL,A-S,3/12/2022,26/12/2022,ราชบุรี,
1447-22,A,THAI COLD ROLLED STEEL SHEET PUBLIC COMPANY LIMITED,28/3/2023,7/11/2022,,26/1/2023,,,,,,,,,,,,,,"970,000",,,04/11/2022,SI,A-S,26/1/2023,1/3/2023,ประจวบคีรีขันธ์,07/11/2022
1448-22,I,Star Petroleum Refining Public Company Limited,22/12/2022,7/11/2022,,21/11/2022,,,,,,,,,,,,,1/12/2022,"37,100",1/12/2022,,07/11/2022,UL,A-S,21/11/2022,22/12/2022,ระยอง,
1449-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),10/1/2023,9/11/2022,,14/11/2022,,,,,,,,,,,,,1/12/2022,"210,000",1/12/2022,,06/11/2022,SI,A-S,14/11/2022,10/01/2023,ระยอง,09/11/2022
1450-22,I,"Mitr Phol Sugar Corporation., Ltd. ( อำนาจเจริญ )",30/11/2022,9/11/2022,,,,,,,,,,17/11/2022,17/11/2022,,,17/11/2022,21/11/2022,"6,300",21/11/2022,S-S,08/11/2022,TW,S-S,,30/11/2022,,09/11/2022
1451-22,I,POSCO - Thainox Public Company Limited,13/1/2023,9/11/2022,,25/12/2022,,,,,,,,20/9/2021,,,,20/9/2021,6/1/2023,"130,000",6/1/2023,,09/11/2022,UL,A-S,25/12/2022,13/1/2023,ระยอง,
1452-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",9/3/2023,9/11/2022,,13/2/2023,,,,,,,,,,,,,2/3/2023,"57,000",2/3/2023,,09/11/2022,UL,A-S,13/2/2023,9/3/2023,กาญจนบุรี,
1453-22,I,Double A (1991) Public Company Limited,16/12/2022,10/11/2022,,17/11/2022,,,,,,,,,,,,,2/12/2022,"170,000",2/12/2022,,10/11/2022,UL,A-S,17/11/2022,16/12/2022,ปราจีนบุรี,
1454-22,Q,Double A (1991) Public Company Limited,31/3/2023,10/11/2022,,13/1/2023,,,,,,,,,,,,,16/3/2023,"216,000",16/3/2023,,10/11/2022,UL,A-S,13/1/2023,31/03/2023,ปราจีนบุรี,10/11/2022
1455-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",13/3/2023,10/11/2022,,3/2/2023,,,,,,,,,,,,,16/2/2023,"43,000",16/2/2023,,10/11/2022,UL,A-S,3/2/2023,13/03/2023,กาญจนบุรี,
1456-22,I,Green Spot Co. Ltd.,28/12/2022,11/11/2022,,,,,,,,,,,,,,,13/12/2022,"37,000",13/12/2022,,11/11/2022,TW,L-S,,28/12/2022,สระบุรี,14/11/2022
1457-22,Q,Ubon Bio Ethanol Public Company Limited,3/4/2023,11/11/2022,,13/2/2023,,,,,,,,,,,,,,"761,250",,,11/11/2022,UL,A-S,13/2/2023,28/2/2023,อุบลราชธานี,14/11/2022
1458-22,I,Green Spot Co. Ltd.,28/12/2022,11/11/2022,,,,,,,,,,,,,,,13/12/2022,"37,000",13/12/2022,,11/11/2022,TW,L-S,,28/12/2022,สระบุรี,14/11/2022
1459-22,A,"Siam PVS Chemicals Co.,Ltd.",7/3/2023,11/11/2022,,15/2/2023,,,,,,,,1/3/2023,1/3/2023,,,,10/3/2023,"390,000",10/3/2023,,10/11/2022,SI,A-S,15/2/2023,07/03/2023,สมุทรปราการ,14/11/2022
1460-22,I,"Thai Paper Co., Ltd. ( วังศาลา )",10/1/2023,14/11/2022,,20/12/2022,,,,,,,,,,,,,6/1/2023,"39,000",6/1/2023,,,TW,A-S,20/12/2022,10/01/2023,กาญจนบุรี,14/11/2022
1461-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",13/3/2023,14/11/2022,,13/2/2023,,,,,,,,,,,,,2/3/2023,"60,000",2/3/2023,,14/11/2022,UL,A-S,13/2/2023,13/03/2023,กาญจนบุรี,16/11/2022
1462-22,Q,"Phaping International Co.,Ltd",7/12/2022,14/11/2022,,,,,,,,,,,,,,,7/12/2022,"21,375",7/12/2022,,14/11/2022,UL,L-S,,30/11/2022,เชียงใหม่,15/11/2022
1463-22,I,"LAO THONG SING CO., LTD.",20/11/2022,14/11/2022,,,,,,,,,,17/11/2022,17/11/2022,,,17/11/2022,17/11/2022,"1,000",17/11/2022,S-S,,TW,S-S,,20/11/2022,,15/11/2022
1464-22,A,Thai Chemical Corp. Ltd.,5/3/2023,15/11/2022,,3/12/2022,,,,,,,,23/11/2022,23/11/2022,,,,23/1/2023,"132,000",23/1/2023,,,TW,A-S,3/12/2022,5/3/2023,สมุทรปราการ,16/11/2022
1465-22,I,"Thai Polyethylene Co., Ltd.",14/2/2023,16/11/2022,,,,,,,,,,17/11/2022,17/11/2022,,,17/11/2022,25/11/2022,"16,900",25/11/2022,S-S,16/11/2022,UL,S-S,,14/2/2023,ระยอง,
1466-22,A,Momentive Performance Materials (Thailand) Limited,31/3/2023,16/11/2022,,10/2/2023,,,,,,,,,,,,,,"882,400",,,16/11/2022,UL,A-S,10/2/2023,31/03/2023,ระยอง,18/11/2022
1467-22,I,"Thai Polyethylene Co., Ltd.",15/3/2023,16/11/2022,,,,,,,,,,,,,,,,"222,000",,,15/11/2022,UL,A-S,,15/03/2023,ระยอง,17/11/2022
1468-22,I,PQ Chemicals ( Thailand ) Limited,22/12/2022,21/11/2022,,25/11/2022,,,,,,,,,,,,,13/12/2022,"31,500",13/12/2022,,,SI,A-S,25/11/2022,22/12/2022,ชลบุรี,23/11/2022
1469-22,I,"GENERAL HOSPITAL PRODUCTS PUBLIC CO.,LTD.",15/1/2023,22/11/2022,,7/1/2023,,,,,,,,,,,,,16/1/2023,"10,500",16/1/2023,,22/11/2022,TW,A-S,7/1/2023,15/01/2023,ปทุมธานี,22/11/2022
1470-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",21/4/2023,23/11/2022,,,,,,,,,,,,,,,2/3/2023,"45,000",2/3/2023,,22/11/2022,TW,L-S,,21/04/2023,กาญจนบุรี,23/11/2022
1471-22,A,"Siam Kraft Industry Co., Ltd ( Ban Pong )",30/4/2023,23/11/2022,,,,,,,,,,,,,,,8/2/2023,"200,000",8/2/2023,,22/11/2022,TW,L-S,,30/04/2023,ราชบุรี,23/11/2022
1472-22,I,Metro Ply Group,31/3/2023,23/11/2022,,,,,,,,,,,,,,,,"179,100",,,21/11/2022,SI,L-S,,24/02/2023,นนทบุรี,23/11/2022
1473-22,Q,Metro Ply Group,31/3/2023,23/11/2022,,,,,,,,,,12/12/2022,12/12/2022,,,12/12/2022,,"171,900",,,23/11/2022,NP,L-S,,24/02/2023,นนทบุรี,25/11/2022
1474-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",7/4/2023,24/11/2022,,10/3/2023,,,,,,,,,,,,,,"157,000",,,24/11/2022,UL,A-S,10/3/2023,07/04/2023,กาญจนบุรี,
1475-22,I,"Siam Poongsan Metal Co.,Ltd.",6/1/2023,25/11/2022,,28/11/2022,,,,,,,,,,,,,9/12/2022,"27,000",9/12/2022,,,SI,A-S,28/11/2022,06/01/2023,ชลบุรี,28/11/2022
1476-22,I,"MMSVS Group Holding Co.,Ltd.",23/12/2022,25/11/2022,,1/12/2022,,,,,,,,,,,,,22/12/2022,"295,000",22/12/2022,,25/11/2022,UL,A-S,1/12/2022,23/12/2022,กรุงเทพมหานคร,25/11/2022
1477-22,I,Double A (1991) Public Company Limited,10/3/2023,28/11/2022,,6/1/2023,,,,,,,,,,,,,21/2/2023,"57,600",21/2/2023,,28/11/2022,UL,A-S,6/1/2023,10/03/2023,ปราจีนบุรี,29/11/2022
1478-22,I,Double A (1991) Public Company Limited,17/3/2023,28/11/2022,,,,,,,,,,12/12/2022,12/12/2022,,,12/12/2022,26/1/2023,"75,600",26/1/2023,S-S,28/11/2022,UL,S-S,,17/03/2023,ปราจีนบุรี,29/11/2022
1479-22,I,"Thai Fermentation Industry Co.,Ltd.",28/2/2023,28/11/2022,,10/2/2023,,,,,,,,,,,,,16/2/2023,"22,500",16/2/2023,,28/11/2022,TW,A-S,10/2/2023,31/01/2023,ราชบุรี,30/11/2022
1480-22,I,"Dutch Mill Co., Ltd.",14/2/2023,28/11/2022,,,,,,,,,,1/12/2022,1/12/2022,,,1/12/2022,14/2/2023,"8,900",14/2/2023,S-S,28/11/2022,TW,S-S,,14/02/2023,กรุงเทพมหานคร,29/11/2022
1481-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",28/3/2023,28/11/2022,,10/3/2023,,,,,,,,,,,,,,"110,000",,,28/11/2022,UL,A-S,10/3/2023,28/3/2023,กาญจนบุรี,30/11/2022
1482-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,28/3/2023,28/11/2022,,10/3/2023,,,,,,,,,,,,,,"52,000",,,28/11/2022,UL,A-S,10/3/2023,28/03/2023,กาญจนบุรี,30/11/2022
1483-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",30/1/2023,30/11/2022,,27/12/2022,,,,,,,,,,,,,6/1/2023,"26,500",6/1/2023,,30/11/2022,UL,A-S,27/12/2022,30/01/2023,กาญจนบุรี,02/12/2022
1484-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",15/3/2023,30/11/2022,,2/3/2023,,,,,,,,,,,,,15/3/2023,"78,000",15/3/2023,,30/11/2022,SI,A-S,2/3/2023,15/03/2023,ราชบุรี,02/12/2022
1485-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",8/2/2023,1/12/2022,,10/1/2023,,,,,,,,,,,,,26/1/2023,"290,000",26/1/2023,,01/12/2022,SI,A-S,10/1/2023,08/02/2023,ราชบุรี,07/12/2022
1486-22,I,"The Siam Cement ( Ta Luang ) Co.,Ltd.",30/5/2023,1/12/2022,,15/5/2023,,,,,,,,,,,,,,"419,000",,,01/12/2022,UL,A-S,15/5/2023,30/05/2023,,
1487-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",8/5/2023,2/12/2022,,10/4/2023,,,,,,,,,,,,,,"54,000",,,01/12/2022,TW,A-S,10/4/2023,09/02/2023,กาญจนบุรี,14/02/2023
1488-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",31/3/2023,2/12/2022,,13/2/2023,,,,,,,,,,,,,,"634,500",,,02/12/2022,UL,A-S,13/2/2023,31/03/2023,ราชบุรี,
1489-22,S,Mitr Phol Bio-Power Plant (Phuviang),31/12/2023,6/12/2022,A-ES,,,,,,,,,,,,,,,"336,000",,,06/12/2022,UL,L-M,,31/12/2023,ขอนแก่น,08/12/2022
1490-22,S,"Mitr Phol Sugar Corporation., Ltd. ( Khonkaen )",31/12/2023,6/12/2022,A-ES,,,,,,,,,,,,,,,"420,000",,,06/12/2022,UL,L-M,,31/12/2023,ขอนแก่น,
1491-22,S,"SINGBURI SUGAR CO., LTD.",31/12/2022,6/12/2022,A-ES,,,,,,,,,,,,,,20/1/2023,"50,000",20/1/2023,,06/12/2022,UL,L-M,,31/12/2022,สิงห์บุรี,
1492-22,S,"Maesod Clean Energy Co,.LTD.",31/10/2023,6/12/2022,A-ES,,,,,,,,,,,,,,,"228,000",,,06/12/2022,UL,L-M,,31/10/2023,ตาก,08/12/2022
1493-22,S,"MITR PHOL BIO-POWER CO., LTD. ( Chaiyaphum )",31/10/2023,6/12/2022,A-ES,,,,,,,,,,,,,,,"390,000",,,06/12/2022,UL,L-M,,31/10/2023,ชัยภูมิ,
1494-22,I,Chan Wanich Security Printing Company Limited ( สมุทรปราการ ),14/2/2023,6/12/2022,,,,,,,,,,,,,,,2/2/2023,"4,300",2/2/2023,,06/12/2022,TW,L-S,,14/02/2023,สมุทรปราการ,07/12/2022
1495-22,I,"Thai Paper Co., Ltd. ( วังศาลา )",6/2/2023,7/12/2022,,16/1/2023,,,,,,,,,,,,,25/1/2023,"36,500",25/1/2023,,06/12/2022,TW,A-S,16/1/2023,06/02/2023,กาญจนบุรี,07/12/2022
1496-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",6/2/2023,7/12/2022,,,,,,,,,,13/1/2023,13/1/2023,,,13/1/2023,26/1/2023,"17,000",26/1/2023,S-S,06/12/2022,TW,S-S,,06/02/2023,ราชบุรี,07/12/2022
1497-22,A,Thai Chemical Corp. Ltd.,28/12/2022,7/12/2022,,,,,,,,,,13/12/2022,13/12/2022,,,,28/12/2022,"128,000",28/12/2022,S-S,07/12/2022,TW,S-S,,26/12/2022,สมุทรปราการ,09/12/2022
1498-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",21/3/2023,8/12/2022,,3/3/2023,,,,,,,,,,,,,15/3/2023,"66,000",15/3/2023,,08/12/2022,TW,A-S,3/3/2023,06/02/2023,กาญจนบุรี,08/12/2022
1499-22,I,PTT Asahi Chemical Company Limited,15/3/2023,9/12/2022,,4/2/2023,,,,,,,,,,,,,23/2/2023,"170,000",23/2/2023,,09/12/2022,NP,A-S,4/2/2023,15/03/2023,ระยอง,12/12/2022
1500-22,I,BASF (Thai) Limited,2/2/2023,9/12/2022,,12/1/2023,,,,,,,,,,,,,27/1/2023,"160,000",27/1/2023,,,SI,A-S,12/1/2023,2/2/2023,ชลบุรี,12/12/2022
1501-22,Q,"INEOS Styrolution (Thailand) Co., Ltd",21/4/2023,9/12/2022,,9/3/2023,,,,,,,,6/2/2023,6/2/2023,,,6/2/2023,,"80,750",,,08/12/2022,UL,A-S,9/3/2023,21/04/2023,ระยอง,10/12/2022
1502-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",22/3/2023,9/12/2022,,13/2/2023,,,,,,,,,,,,,2/3/2023,"62,000",2/3/2023,,09/12/2022,UL,A-S,13/2/2023,22/3/2023,ราชบุรี,13/12/2022
1503-22,I,PTT Global Chemical Public Company Limited,6/3/2023,9/12/2022,,16/12/2022,,,,,,,,,,,,,23/2/2023,"100,000",23/2/2023,,9/12/2022,UL,A-S,16/12/2022,6/3/2023,ระยอง,09/12/2022
1504-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,10/4/2023,12/12/2022,,2/3/2023,,,,,,,,,,,,,,"186,500",,,12/12/2022,UL,A-S,2/3/2023,10/04/2023,กาญจนบุรี,14/12/2022
1505-22,A,Thai Rayon Public Company Limited,2/5/2023,16/12/2022,,31/3/2023,,,,,,,,,,,,,,"420,000",,,19/12/2022,UL,A-S,31/3/2023,02/05/2023,,22/12/2022
1506-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",14/1/2023,16/12/2022,,11/1/2023,,,,,,,,,,,,,25/1/2023,"116,000",25/1/2023,,16/12/2022,SI,A-S,11/1/2023,14/1/2023,ราชบุรี,
1507-22,Q,Double A (1991) Public Company Limited,28/4/2023,17/12/2022,,27/3/2023,,,,,,,,,,,,,,"380,000",,,19/12/2022,UL,A-S,27/3/2023,28/4/2023,ปราจีนบุรี,21/12/2022
1508-22,I,PTT Global Chemical Public Company Limited,13/2/2023,17/12/2022,,6/1/2023,,,,,,,,,,,,,13/2/2023,"249,999",13/2/2023,,19/12/2022,UL,A-S,6/1/2023,13/02/2023,ระยอง,21/12/2022
1509-22,Q,"Funtum Co., Ltd.",10/4/2023,19/12/2022,,10/3/2023,,,,,,,,,,,,,,"72,000",,,19/12/2022,UL,A-S,10/3/2023,10/04/2023,กรุงเทพมหานคร,19/12/2022
1510-22,I,"Siam Synthetic Latex Co., Ltd.",31/3/2023,20/12/2022,,8/2/2023,,,,,,,,,,,,,23/2/2023,"81,000",23/2/2023,,20/12/2022,UL,A-S,8/2/2023,31/03/2023,ระยอง,22/12/2022
1511-22,I,PTT Global Chemical Public Company Limited ,20/3/2023,20/12/2022,,8/2/2023,,,,,,,,,,,,,7/3/2023,"91,200",7/3/2023,,20/12/2022,UL,A-S,8/2/2023,20/03/2023,ระยอง,22/12/2022
1512-22,I,"Kyouei Co., Ltd.",16/4/2023,23/12/2022,,15/4/2023,,,,,,,,,,,,,,"310,000",,,,NP,A-S,15/4/2023,16/4/2023,กรุงเทพมหานคร,28/12/2022
1513-22,A,"Oleen Co., Ltd.",8/2/2023,26/12/2022,,,,,,,,,,9/1/2023,9/1/2023,,,,24/1/2023,"45,000",24/1/2023,S-S,26/12/2022,TW,S-S,,8/2/2023,สมุทรสาคร,26/12/2022
1514-22,I,Bangchak Corporation Public Company Limited,14/2/2023,26/12/2022,,12/1/2023,,,,,,,,,,,,,31/1/2023,"171,000",31/1/2023,,,UL,A-S,12/1/2023,14/2/2023,กรุงเทพมหานคร,20/01/2023
1515-22,I,TPI Polene Public Company Limited (Concrete Roof Tiles Plant),15/5/2023,26/12/2022,,10/3/2023,,,,,,,,,,,,,,"172,515",,,26/12/2022,UL,A-S,10/3/2023,15/5/2023,สระบุรี,
1516-22,I,Double A (1991) Public Company Limited,14/4/2023,28/12/2022,,,,,,,,,,13/1/2023,13/1/2023,,,13/1/2023,,"52,000",,S-S,28/12/2022,UL,S-S,,14/4/2023,ปราจีนบุรี,05/01/2023
1517-22,I,Sanyo Kasei (Thailand),28/3/2023,28/12/2022,,24/2/2023,,,,,,,,,,,,,,"130,000",,,28/12/2022,NP,A-S,24/2/2023,28/03/2023,ระยอง,04/01/2023
1518-22,I,Double A (1991) Public Company Limited,30/12/2022,28/12/2022,,,,,,,,,,,,,,,16/1/2023,"39,500",16/1/2023,,,SI,L-S,,30/12/2022,ปราจีนบุรี,28/12/2022
8001-22,S,Thai Rayon Public Company Limited,16/3/2022,26/1/2022,,,,,,,,,,3/2/2022,3/2/2022,,,3/2/2022,9/2/2022,"78,000",9/2/2022,,,MO,L-M,,16/3/2022,,05/02/2022
8002-22,S,Double A (1991) Public Company Limited,11/3/2022,2/2/2022,,,,,,,,,,,,,,,25/2/2022,"18,000",25/2/2022,,,MO,L-M,,11/03/2022,ปราจีนบุรี,24/02/2022
8003-22,S,"Dragonal Co.,Ltd.",14/2/2022,2/2/2022,,,,,,,,,,,,,,,14/2/2022,"19,000",14/2/2022,,,MO,L-M,,03/02/2022,กรุงเทพมหานคร,05/02/2022
8004-22,S,"LAO THONG SING CO., LTD.",25/2/2022,11/2/2022,,,,,,,,,,11/2/2022,11/2/2022,,,11/2/2022,18/2/2022,"18,000",18/2/2022,,,MO,L-M,,25/02/2022,,14/02/2022
8005-22,S,Huntsman (Thailand) Ltd.,7/4/2022,11/2/2022,,,,,,,,,,,,,,,22/3/2022,"45,000",22/3/2022,,10/2/2022,MO,L-M,,07/04/2022,สมุทรสาคร,04/03/2022
8006-22,S,Thai Plastic and Chemicals Public Company Limited ( Rayong ),12/3/2022,17/2/2022,,21/3/2022,,,,,,,,,,,,,2/6/2022,"143,000",2/6/2022,,,MO,L-M,21/3/2022,12/03/2022,ระยอง,03/03/2022
8007-22,S,RCI Labscan Limited,8/4/2022,28/2/2022,,,,,,,,,,1/3/2022,1/3/2022,,,1/3/2022,18/4/2022,"70,000",18/4/2022,,,MO,L-M,,8/4/2022,สมุทรสาคร,02/03/2022
8008-22,S,Huntsman (Thailand) Ltd.,1/5/2022,3/3/2022,,,,,,,,,,,,,,,22/3/2022,"37,000",22/3/2022,,2/3/2022,MO,L-M,,01/05/2022,สมุทรสาคร,04/03/2022
8009-22,S,"GENERAL HOSPITAL PRODUCTS PUBLIC CO.,LTD.",4/4/2022,8/3/2022,,,,,,,,,,9/3/2022,9/3/2022,,,9/3/2022,4/4/2022,"41,500",4/4/2022,,8/3/2022,UL,L-M,,04/04/2022,ปทุมธานี,08/03/2022
